fk_name	schema_name	table	column	referenced_table	referenced_column
FK_TONL_LA_DRT_MST__GCDE_TAX_ENTY	dbo	TONL_LA_DRT_MST	ENTY_CD	GCDE_TAX_ENTY	ENTY_CD
FK_AONL_ACQ_TMPL_TYPE__AONL_ACQ_SRC_SYS	dbo	AONL_ACQ_TMPL_TYPE	SRC_SYS_CD	AONL_ACQ_SRC_SYS	SRC_SYS_CD
FK_AXRF_CW_CHK_STAT__AONL_ACQ_SRC_SYS	dbo	AXRF_CW_CHK_STAT	SRC_SYS_CD	AONL_ACQ_SRC_SYS	SRC_SYS_CD
FK_AXRF_CW_BANK_STAT__AONL_ACQ_SRC_SYS	dbo	AXRF_CW_BANK_STAT	SRC_SYS_CD	AONL_ACQ_SRC_SYS	SRC_SYS_CD
FK_AXRF_BA_TYPE__AONL_ACQ_SRC_SYS	dbo	AXRF_BA_TYPE	SRC_SYS_CD	AONL_ACQ_SRC_SYS	SRC_SYS_CD
FK_AXRF_CTRY__AONL_ACQ_SRC_SYS	dbo	AXRF_CTRY	SRC_SYS_CD	AONL_ACQ_SRC_SYS	SRC_SYS_CD
FK_AXRF_ST_CD__AONL_ACQ_SRC_SYS	dbo	AXRF_ST_CD	SRC_SYS_CD	AONL_ACQ_SRC_SYS	SRC_SYS_CD
FK_AXRF_TAX_EXMPT__AONL_ACQ_SRC_SYS	dbo	AXRF_TAX_EXMPT	SRC_SYS_CD	AONL_ACQ_SRC_SYS	SRC_SYS_CD
FK_AXRF_WELL_STAT__AONL_ACQ_SRC_SYS	dbo	AXRF_WELL_STAT	SRC_SYS_CD	AONL_ACQ_SRC_SYS	SRC_SYS_CD
FK_AXRF_SUSP_RSN__AONL_ACQ_SRC_SYS	dbo	AXRF_SUSP_RSN	SRC_SYS_CD	AONL_ACQ_SRC_SYS	SRC_SYS_CD
FK_AXRF_PROP_STAT__AONL_ACQ_SRC_SYS	dbo	AXRF_PROP_STAT	SRC_SYS_CD	AONL_ACQ_SRC_SYS	SRC_SYS_CD
FK_AXRF_PROP_TYPE__AONL_ACQ_SRC_SYS	dbo	AXRF_PROP_TYPE	SRC_SYS_CD	AONL_ACQ_SRC_SYS	SRC_SYS_CD
FK_AXRF_SEV_TAX_TYPE__AONL_ACQ_SRC_SYS	dbo	AXRF_SEV_TAX_TYPE	SRC_SYS_CD	AONL_ACQ_SRC_SYS	SRC_SYS_CD
